,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-47.38185501098633,-2.6033191680908203,170.6159210205078,0.3196749687194824,4.125876426696777,8.087779998779297,823.5199584960938,-78.29452514648438,6.50003719329834,1.130519151687622,343.69744873046875
std,4.845388889312744,15.391218185424805,170.17433166503906,0.02345646359026432,1.2314034700393677,1.3539727926254272,122.6291732788086,120.23355102539062,0.8639422059059143,0.46752673387527466,56.19786834716797
min,-57.72216033935547,-38.70756149291992,0.03598767891526222,0.2249547243118286,1.146169662475586,3.5088908672332764,450.6249694824219,-249.8598175048828,5.000368118286133,0.20097258687019348,250.52218627929688
25%,-50.74178123474121,-14.766158103942871,8.338644981384277,0.30489395558834076,3.312951922416687,7.239632248878479,736.8041534423828,-176.58633422851562,5.804520487785339,0.7575703710317612,295.7894287109375
50%,-47.808916091918945,-2.446346163749695,24.398399353027344,0.32458505034446716,4.288036823272705,8.348991394042969,839.256103515625,-97.8334732055664,6.414087295532227,1.133242666721344,342.10789489746094
75%,-44.75287055969238,10.072575807571411,351.33773040771484,0.33883272111415863,5.130010724067688,9.139893293380737,925.1878662109375,-0.036770353093743324,7.09003484249115,1.4974850416183472,388.8266143798828
max,-27.41749382019043,33.52008056640625,359.8332214355469,0.3499496579170227,5.989952564239502,9.997345924377441,999.8417358398438,247.27886962890625,9.901524543762207,1.9984731674194336,449.9046936035156
