,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-13.615449905395508,30.996414184570312,56.76524353027344,0.2773231565952301,3.154522657394409,6.458009719848633,1084.1236572265625,160.8367919921875,9.482675552368164,2.8434109687805176,173.1158447265625
std,10.25804615020752,12.271066665649414,66.17892456054688,0.0380818173289299,0.8861420750617981,1.129124402999878,294.1480407714844,51.146697998046875,1.838515281677246,0.7313673496246338,83.6395034790039
min,-55.739356994628906,-15.411974906921387,0.3440723419189453,0.2002943754196167,1.0859007835388184,5.00337553024292,700.031005859375,24.322795867919922,5.115283966064453,0.7560198307037354,50.426326751708984
25%,-19.34330177307129,23.941198348999023,28.77891969680786,0.2468857690691948,2.514526665210724,5.547047019004822,853.5446624755859,124.06831741333008,8.201148509979248,2.354166865348816,107.96045875549316
50%,-11.076342582702637,32.565521240234375,45.0188045501709,0.2767702788114548,3.1090166568756104,6.23780369758606,1016.6917114257812,162.93523406982422,9.413350582122803,2.9623591899871826,155.48312377929688
75%,-5.80450177192688,40.47377014160156,61.167869567871094,0.3081519231200218,3.842525541782379,7.117738604545593,1248.0171203613281,203.40921020507812,10.608051776885986,3.4284339547157288,226.41090393066406
max,-0.0046060821041464806,49.979183197021484,359.6380615234375,0.3499925136566162,4.999602794647217,11.731270790100098,1993.4271240234375,249.1800537109375,17.731258392333984,3.987708568572998,463.376953125
