,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-36.0699348449707,9.837804794311523,338.77716064453125,0.3233802318572998,1.347182035446167,10.84614372253418,408.4437255859375,-260.24029541015625,1.1400001049041748,1.6399998664855957,8.726523399353027,1.1005518436431885,367.76507568359375
std,8.019706726074219,5.816405296325684,5.758678436279297,0.020443981513381004,0.2554994821548462,1.4417176246643066,125.29823303222656,27.12908363342285,7.994834049895871e-06,1.0023373761214316e-05,1.241068720817566,0.4849776327610016,158.2042694091797
min,-54.17966079711914,-3.196849822998047,318.9480285644531,0.22921445965766907,1.00065016746521,6.135501384735107,203.00379943847656,-299.976806640625,1.1399999856948853,1.6399999856948853,6.4496941566467285,0.20216263830661774,101.10287475585938
25%,-42.27743339538574,5.5079110860824585,335.2132263183594,0.3133019655942917,1.1593047976493835,9.92186188697815,310.85975646972656,-282.20018005371094,1.1399999856948853,1.6399999856948853,7.822046160697937,0.7401461154222488,228.82504272460938
50%,-36.41697311401367,9.937199115753174,338.9667510986328,0.3268498480319977,1.2965234518051147,10.847026348114014,385.1404724121094,-263.2779083251953,1.1399999856948853,1.6399999856948853,8.514116287231445,1.1149661540985107,371.49903869628906
75%,-30.616042137145996,14.235439538955688,342.4283142089844,0.33979669213294983,1.481986552476883,11.800708532333374,493.46537017822266,-240.60292434692383,1.1399999856948853,1.6399999856948853,9.537406206130981,1.4914064407348633,493.53417205810547
max,-12.81452751159668,23.246788024902344,354.5913391113281,0.3498862385749817,2.567652702331543,14.812378883361816,783.1575927734375,-175.05433654785156,1.1399999856948853,1.6399999856948853,12.850998878479004,1.9824719429016113,692.1346435546875
