,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,268.07720947265625,3.0361034870147705,338.64910888671875,0.3104216158390045,1.3821611404418945,7.672457218170166,447.5544738769531,-251.36907958984375,1.1400001049041748,1.6399998664855957,9.188760757446289,1.5911815166473389,472.316650390625
std,6.4161553382873535,4.728173732757568,5.241433143615723,0.027132386341691017,0.284424364566803,1.0525230169296265,102.10635375976562,29.528316497802734,7.994834049895871e-06,1.0023373761214316e-05,1.1795506477355957,0.7358381748199463,140.3265380859375
min,250.83323669433594,-9.656709671020508,323.1274108886719,0.19722621142864227,1.0026769638061523,6.003181457519531,200.602294921875,-299.8537292480469,1.1399999856948853,1.6399999856948853,6.618775367736816,0.20663435757160187,104.23585510253906
25%,263.5765380859375,-0.2758498042821884,335.1750030517578,0.29482875019311905,1.1620433926582336,6.821921110153198,379.33545684814453,-275.1172561645508,1.1399999856948853,1.6399999856948853,8.304860591888428,0.9889379739761353,377.0786895751953
50%,267.90260314941406,2.9103586673736572,338.46730041503906,0.31485407054424286,1.3243736028671265,7.535860300064087,448.4209899902344,-253.6267318725586,1.1399999856948853,1.6399999856948853,9.06029224395752,1.5899232029914856,484.75453186035156
75%,272.4586181640625,6.428007483482361,342.154541015625,0.33197030425071716,1.5363215506076813,8.402585983276367,515.1732177734375,-231.72636032104492,1.1399999856948853,1.6399999856948853,9.922785997390747,2.181257128715515,593.8194274902344
max,286.31988525390625,16.778480529785156,353.9905090332031,0.34983646869659424,2.53596568107605,10.814631462097168,743.8057861328125,-164.54331970214844,1.1399999856948853,1.6399999856948853,14.039116859436035,2.994917392730713,698.2638549804688
