            lon        lat         inc      D1AU     delta  launch radius  launch speed    t factor  expansion rate  B decay rate       B1AU     gamma         vsw
47   258.017975   8.115615  341.928864  0.264595  1.195691       7.478821    564.349487 -242.725586            1.14          1.64   7.014996  0.394867  597.035095
48   261.684509  10.466153  336.208130  0.281688  1.191912       8.184244    441.584198 -209.994354            1.14          1.64   8.576162  1.998494  650.400330
49   276.381927  -1.755730  327.626404  0.339960  1.851909       9.382435    278.411377 -251.485947            1.14          1.64  10.817005  2.972740  418.645416
50   264.378845   7.469431  335.607910  0.335815  1.422010       6.953279    498.601715 -210.020493            1.14          1.64   8.237985  2.505556  600.566895
51   277.507080  -4.989247  348.069122  0.321583  1.139363       9.056475    200.602295 -212.155426            1.14          1.64  10.531662  2.672797  545.835571
52   277.590240   0.411605  331.065094  0.314466  1.505895       9.031393    324.960388 -295.416656            1.14          1.64  11.096397  1.109652  367.396301
53   268.844208  -0.106513  345.338348  0.325544  1.057036       6.973685    469.706940 -239.073975            1.14          1.64   9.173319  1.383693  450.147919
54   264.074280   7.815386  339.027008  0.265445  1.033637       8.803967    380.496094 -278.385010            1.14          1.64   8.769725  0.848656  697.942017
55   272.506287   0.657552  339.635468  0.305076  1.261906       7.584547    441.390076 -230.199097            1.14          1.64   9.138450  0.495509  146.799469
56   271.571045   6.703527  334.275818  0.341290  1.143919       7.791053    358.374878 -248.756622            1.14          1.64   9.754229  1.654479  604.546692
57   273.323151  -4.116307  342.285645  0.328716  1.465462       7.629340    458.289673 -242.716156            1.14          1.64   9.691258  2.385012  280.213287
58   262.156799  14.574614  333.277466  0.275021  1.234379       6.179578    611.908936 -289.661316            1.14          1.64   8.115043  0.381052  320.955566
59   266.140747   5.497525  336.173187  0.318197  1.373938       7.322340    482.603241 -238.731262            1.14          1.64   8.354052  2.105937  447.281860
60   262.017273   4.776149  337.926666  0.349319  1.716995       8.229692    415.078400 -258.429871            1.14          1.64   8.529953  2.018963  649.404419
61   270.183899  13.357033  328.772156  0.279707  1.028436       7.391933    466.515198 -295.628448            1.14          1.64   9.255006  1.707647  370.052734
62   272.502289  -0.095900  337.583344  0.330883  1.320823       9.059422    362.286926 -213.913071            1.14          1.64  10.192122  1.694020  310.994812
63   266.940979   5.733326  335.422241  0.346247  1.185848       8.309132    250.873474 -195.998734            1.14          1.64   8.488087  2.505437  680.647095
64   270.941986  -5.558132  350.147400  0.314572  1.300166       7.840189    423.586182 -232.983643            1.14          1.64  10.368307  0.782952  369.377319
65   267.807343   1.255872  344.917358  0.266088  1.139829       8.275380    423.088165 -255.697327            1.14          1.64   8.291454  1.425391  364.936005
66   267.556274  11.431070  329.461334  0.298309  1.272592       7.268108    475.213013 -248.520050            1.14          1.64   8.923588  0.593900  572.925903
67   267.150391  -0.885924  348.214264  0.253506  1.173419       7.978165    416.190155 -244.471405            1.14          1.64   8.738214  2.655034  502.076355
68   285.833099  -3.291579  335.105103  0.344749  1.230390       8.303456    330.561615 -276.670837            1.14          1.64  12.473104  1.465776  330.448090
69   256.187622   6.305725  340.468109  0.305197  1.881991       7.106860    596.424744 -294.919647            1.14          1.64   7.779242  2.072349  659.180847
70   255.676849   1.610584  342.374756  0.314574  2.114565       7.182278    619.413330 -293.621857            1.14          1.64   7.208176  1.475577  449.283325
71   280.635864  -1.355403  328.310211  0.326055  1.468760       8.421209    335.552032 -290.246155            1.14          1.64  12.736908  0.400797  383.577332
72   265.328766   8.599283  333.655243  0.316037  1.644992       7.556709    440.964630 -295.201508            1.14          1.64   8.497342  2.687506  596.001099
73   276.457062   1.897813  336.841187  0.307177  1.186855       6.845624    418.830231 -290.630096            1.14          1.64   9.920426  0.315542  416.773285
74   273.702545  -6.333828  338.098419  0.345568  2.042898       8.946460    314.292450 -269.566528            1.14          1.64   9.771999  1.362425  503.243103
75   264.020935   9.172369  335.390350  0.289023  1.228194       6.930130    516.324463 -251.179855            1.14          1.64   8.275117  1.990903  479.900299
76   268.837219   6.656260  332.457153  0.337692  1.420392       6.144494    516.479065 -227.189102            1.14          1.64   8.897335  2.200946  438.264130
77   267.542633   1.728239  339.317017  0.348316  1.449188       7.137635    395.622406 -245.224487            1.14          1.64   8.786939  1.960178  666.481384
