            lon        lat         inc      D1AU     delta  launch radius  launch speed    t factor  expansion rate  B decay rate       B1AU     gamma         vsw
207  268.418488   3.189842  337.907867  0.342375  1.151143       6.398844    480.945099 -188.301361            1.14          1.64   9.463314  1.092783  622.100769
208  266.991180  -2.792514  345.086792  0.349061  1.428165       6.727643    481.100983 -199.804764            1.14          1.64   9.276873  0.964367  568.638306
209  261.633026  -1.501831  346.317474  0.308301  1.604214       7.479795    522.317078 -236.736069            1.14          1.64   8.461455  1.201548  406.291229
210  264.711304  13.483604  331.544159  0.268616  1.259490       8.482704    463.278961 -284.814453            1.14          1.64   8.966504  0.866467  458.742096
211  257.787323   9.114130  340.173645  0.303637  1.317024       7.069960    583.111816 -241.486282            1.14          1.64   7.434134  1.474683  614.736023
212  261.438965   6.064353  343.165619  0.265637  1.030993       9.968170    205.773880 -264.954071            1.14          1.64   8.227445  2.561869  664.176392
213  264.962219   6.350629  336.712708  0.314491  1.515868       7.011582    498.702209 -256.170868            1.14          1.64   8.637436  0.341885  488.945404
214  261.583771   1.963258  331.696472  0.321991  2.535966      10.426392    336.100891 -266.748138            1.14          1.64   8.244540  1.090196  565.270874
215  283.958191  -3.242860  341.965698  0.302345  1.082928       8.293532    303.705505 -287.772369            1.14          1.64  12.749167  1.519296  484.927246
216  272.796509   1.644543  339.439941  0.292337  1.213230       7.882910    392.946930 -275.102081            1.14          1.64  10.091421  1.756123  445.842804
217  267.604248  10.544349  332.395050  0.284847  1.172963       8.285822    385.251740 -280.899078            1.14          1.64   9.206087  1.302278  615.362427
218  266.555634  -1.126885  343.814758  0.308899  1.472901       7.593272    462.845764 -270.898804            1.14          1.64   8.812166  2.065156  419.476227
219  269.314880  -0.178438  342.987183  0.332606  1.145204       7.409143    406.413361 -217.183182            1.14          1.64   9.646606  1.271319  628.989441
220  276.574188  -2.141361  339.111298  0.321952  1.360382       8.013763    382.772125 -253.654312            1.14          1.64  10.442020  1.700149  340.585236
221  270.467346   3.219810  334.411957  0.312234  1.433423       9.257270    282.710602 -235.927307            1.14          1.64   8.835082  1.588861  592.569641
222  274.370941   0.869097  339.674622  0.321768  1.238180       7.179806    410.239716 -255.404495            1.14          1.64   9.356947  2.021547  493.356903
223  269.900635  -4.030091  341.974121  0.309591  1.901207       8.344215    409.807770 -281.420135            1.14          1.64   9.128921  2.334667  322.049744
224  271.374115   3.587468  339.014801  0.346631  1.057283       6.938623    376.678925 -190.235870            1.14          1.64   9.165700  1.439938  686.607788
225  276.080139  -0.729867  338.337646  0.307106  1.431444       8.714497    302.092407 -291.947174            1.14          1.64  11.055199  2.643089  473.118378
226  254.087601   9.564660  343.014587  0.280014  1.423238       6.327254    669.158386 -295.693451            1.14          1.64   6.743344  1.161048  684.498657
227  278.851837   0.997778  334.092346  0.302701  1.114062       7.213564    448.026306 -256.824554            1.14          1.64  10.400149  2.787556  274.643372
228  266.484619   6.297887  337.171600  0.314725  1.169194       8.074661    444.076477 -259.802521            1.14          1.64   9.395142  1.977726  501.425812
229  260.174500   2.827039  339.750641  0.347053  1.751141       6.630765    583.429504 -264.068268            1.14          1.64   8.926692  1.264053  432.167084
230  265.763367   0.397439  339.156464  0.302928  1.791804       9.019854    396.788544 -268.105591            1.14          1.64   9.089278  0.690088  488.955536
231  283.235809  -1.938928  335.384003  0.296857  1.170078       9.785702    247.999863 -283.086914            1.14          1.64  13.612035  0.534535  512.301514
232  272.414459   0.009115  339.886719  0.312652  1.227935       8.045381    374.095886 -218.379074            1.14          1.64   9.623260  1.603570  529.254639
233  268.397949   9.133378  334.573730  0.326922  1.037205       6.480633    499.282501 -247.180115            1.14          1.64   8.839684  0.927074  479.713043
234  264.660095   9.344847  335.799286  0.330978  1.096495       6.008003    595.552490 -250.266602            1.14          1.64   8.630774  1.776598  417.105469
235  268.359467   7.918985  325.869141  0.340925  1.726795       7.604189    466.015991 -249.644485            1.14          1.64   9.001895  1.062687  338.302765
236  270.811462  -1.667770  343.789978  0.332847  1.241760       7.038706    450.918152 -177.892380            1.14          1.64   8.956463  0.906786  517.234802
237  266.844788   8.050823  330.419739  0.321309  1.593182       7.137874    488.518463 -246.612198            1.14          1.64   8.899370  0.847867  429.022736
238  269.837463   0.845375  336.753693  0.338912  1.518393       6.424788    510.225250 -221.308823            1.14          1.64   8.651758  2.561976  380.993713
239  267.447418   2.688763  338.444702  0.307511  1.459777      10.216543    224.447983 -243.769714            1.14          1.64   9.326107  1.211624  659.706787
240  273.255707   6.415703  333.062592  0.293017  1.007099       6.356511    463.550140 -209.129303            1.14          1.64   9.940848  0.899704  394.925232
241  272.032684   0.072903  341.798004  0.282964  1.253650       6.443968    572.589478 -235.090591            1.14          1.64   9.573113  1.518435  211.795853
242  271.409180   7.657580  329.307190  0.339955  1.291430       6.267582    508.023071 -237.070221            1.14          1.64   9.502215  1.139326  348.276855
243  271.678040   1.965093  337.135834  0.331797  1.139395       6.682264    515.059082 -205.153122            1.14          1.64   9.530778  2.707328  341.290802
244  270.415771   7.690620  331.684418  0.276013  1.252868       9.432546    289.302490 -265.818146            1.14          1.64  10.016843  1.318265  578.651306
245  266.980438  11.108749  327.476624  0.338737  1.572107       8.530293    378.869934 -275.419830            1.14          1.64   9.558892  1.035409  663.617737
246  280.164307  -2.988874  340.807190  0.298943  1.196931       8.222714    366.503448 -250.649811            1.14          1.64  10.646983  1.302736  244.216995
247  282.840118  -3.042562  342.175140  0.322961  1.010713       8.632611    283.026001 -255.642822            1.14          1.64  12.542089  0.790873  578.196350
248  280.195435  -1.188407  335.495728  0.349211  1.190433       7.234628    394.047363 -268.045898            1.14          1.64  11.879292  2.302068  366.391876
249  272.698883   2.335427  333.705048  0.342332  1.426862       7.406999    423.104370 -241.968430            1.14          1.64   9.149897  1.722619  429.865967
250  271.930237   1.132420  336.569855  0.321035  1.427397       8.410307    400.852448 -251.633133            1.14          1.64   9.584152  2.958328  317.771790
251  265.243256   1.588093  340.175049  0.307110  1.640809       7.568496    485.831726 -270.550201            1.14          1.64   8.827902  2.585124  396.570068
252  272.110474   1.234636  340.192688  0.245410  1.325821       9.782842    302.620422 -288.886749            1.14          1.64   9.860115  1.172144  463.663116
253  272.685150   3.023077  337.527069  0.334368  1.047052       6.275237    471.403931 -237.636566            1.14          1.64  10.354812  0.699347  473.026581
254  252.677231   0.254428  342.727173  0.348569  2.095152       6.600272    662.898254 -207.788910            1.14          1.64   7.154345  1.472475  600.750244
255  266.872284   6.806742  332.953552  0.317327  1.503957       7.982859    438.789459 -261.162537            1.14          1.64   8.450837  0.369479  603.236755
256  262.808014   4.219625  340.621033  0.275019  1.602931       6.281785    690.096191 -297.339874            1.14          1.64   7.969671  0.807709  138.936401
257  262.780304   3.581512  338.281372  0.345965  1.635769       6.404888    529.889465 -241.576660            1.14          1.64   8.935131  0.915411  674.597839
258  261.991058  -0.788335  337.679962  0.323906  2.376885       6.623472    583.037048 -260.444702            1.14          1.64   7.589608  1.544409  325.654449
259  267.034851   6.370257  336.408752  0.341902  1.139484       6.123934    487.894196 -203.911606            1.14          1.64   8.866273  2.008353  642.181274
260  257.807220   4.671019  344.856232  0.302169  1.385553       6.232726    601.127563 -286.516022            1.14          1.64   7.533673  1.868423  640.688538
261  263.298920  13.179100  329.301270  0.339952  1.807678       7.194507    566.545410 -273.191895            1.14          1.64   8.102242  2.190784  409.604187
262  276.065002  -1.501539  342.951843  0.297516  1.148628       9.488746    218.097534 -243.444229            1.14          1.64  10.444121  1.731181  544.868774
263  270.439087  -2.699534  343.225067  0.313919  1.551979       8.190884    404.449585 -263.023102            1.14          1.64   9.093615  1.703644  430.986298
264  265.042816   0.880637  344.006805  0.329362  1.295115       6.835686    505.360809 -218.603043            1.14          1.64   8.797007  0.518515  606.491089
265  266.782990  -2.441058  349.297180  0.316586  1.105883       6.183717    536.522095 -235.925781            1.14          1.64   9.481606  0.426809  313.845764
266  278.893768  -4.613823  337.722809  0.337148  1.450447       8.694075    338.928131 -286.579254            1.14          1.64  12.421334  0.545045  406.496307
267  269.765747   2.721526  334.896881  0.349836  1.545600       7.387795    451.308197 -250.239655            1.14          1.64   9.750464  0.810571  357.105621
268  271.863770   1.375659  336.429993  0.309108  1.570936       7.946984    413.147919 -266.128082            1.14          1.64   9.533559  1.797474  342.018097
269  273.521729   2.027431  337.908752  0.322911  1.197133       6.888521    433.910553 -252.261383            1.14          1.64   9.990714  2.173057  403.540405
270  263.050079  -2.945476  344.595764  0.334533  1.654536       7.504485    467.237671 -196.253799            1.14          1.64   7.953619  2.373855  605.354004
271  264.879059  12.695072  330.691437  0.301774  1.368904       7.998908    462.179596 -293.070770            1.14          1.64   8.449996  1.466512  584.148987
272  262.789948   1.963816  347.550323  0.240689  1.113102       7.278945    469.375977 -291.613098            1.14          1.64   8.356613  2.041776  612.490845
273  256.281769   4.133037  343.706390  0.322898  1.302054       6.715361    638.463562 -176.871384            1.14          1.64   7.108610  1.447246  469.891876
274  280.245667  -0.742335  333.642853  0.315585  1.195857       7.063516    533.358215 -228.589569            1.14          1.64  11.636141  2.924140  208.263626
275  275.889709  -0.339639  335.192932  0.331330  1.407726       7.422523    400.846527 -243.749527            1.14          1.64  10.217169  1.635214  423.796051
276  279.646606  -1.726653  342.314911  0.280097  1.071913       7.057673    431.082336 -282.568115            1.14          1.64  11.109063  0.495487  129.431259
277  268.061554   2.830788  338.509918  0.347486  1.287945       8.331216    233.155945 -199.583054            1.14          1.64   8.897297  2.250286  689.086304
278  280.457458  -6.718013  346.416901  0.346382  1.215944       8.408826    377.003723 -228.596603            1.14          1.64  11.226166  1.120738  206.675720
279  269.158905   6.676196  332.244293  0.264880  1.634869       9.728486    338.084473 -289.342834            1.14          1.64   9.236414  1.091034  436.853790
280  275.067047  -1.378646  342.448425  0.330983  1.100216       7.259608    419.908051 -260.767975            1.14          1.64  11.220434  1.822067  438.773926
281  259.046967   6.157657  342.928467  0.258808  1.113996       8.867133    414.859283 -246.346985            1.14          1.64   7.982488  1.484749  697.611816
282  266.851685   0.386780  337.775024  0.328086  1.793545       8.574442    393.528687 -286.091431            1.14          1.64   9.429489  2.678079  498.352386
283  266.906677  -2.034602  337.986084  0.319891  1.922068       8.808221    397.069519 -239.644302            1.14          1.64   7.688997  2.586876  428.300873
284  260.510834   2.895630  341.441803  0.314105  1.572428       6.196366    660.217346 -215.435623            1.14          1.64   8.059038  2.612198  422.144653
285  268.157410   5.609666  338.548096  0.255248  1.106036       6.694424    556.740234 -260.250427            1.14          1.64   9.572347  1.061108  223.421707
286  267.683624  -4.301457  352.198730  0.288607  1.152447       6.709447    498.217072 -268.582703            1.14          1.64   9.930513  1.881531  391.795135
287  271.719421   2.381467  338.968079  0.319107  1.111249       7.981445    340.753571 -236.773529            1.14          1.64   9.919866  1.519507  619.458862
288  274.417877   4.004945  330.523163  0.347094  1.248548       6.935799    425.077759 -205.066696            1.14          1.64  10.010656  2.414870  496.400391
289  272.099976   5.378869  333.768433  0.309575  1.318970       7.897949    405.260498 -260.718719            1.14          1.64   8.974522  2.417308  430.480347
290  263.900269   3.723505  336.816193  0.317514  1.676816       6.519826    598.633118 -262.370178            1.14          1.64   8.926003  2.557148  379.906525
291  263.348083  13.350329  334.076080  0.293112  1.028681       6.857674    537.993774 -282.353607            1.14          1.64   8.426859  1.579630  544.433655
292  275.957001  -4.016448  340.385651  0.296349  1.581009       9.364292    320.909363 -266.570374            1.14          1.64  10.209081  2.119354  303.586700
293  257.156372   4.725909  343.519684  0.295035  1.410820       7.257502    578.768799 -235.317261            1.14          1.64   7.594558  1.550345  529.109070
294  263.088562   1.848968  346.374390  0.254153  1.226568       7.844934    446.878296 -270.723969            1.14          1.64   8.570975  1.528100  594.523010
295  276.045685  -2.072623  342.211426  0.262030  1.425505       9.461565    320.282104 -258.953217            1.14          1.64   9.405560  1.527565  233.672607
296  255.610931  -0.407128  347.161835  0.287986  1.965320       7.274684    606.765320 -258.622955            1.14          1.64   7.184091  1.866177  477.573700
297  263.146820  -1.257324  341.606232  0.310838  1.994401       6.397424    590.131531 -231.659424            1.14          1.64   7.691154  0.571609  207.548340
298  272.113251  -3.691997  351.889984  0.252110  1.038221       7.087515    538.482605 -260.436798            1.14          1.64   9.695374  1.953325  222.322418
299  272.108124   3.259423  337.781281  0.349588  1.017588       6.613492    468.225494 -197.904099            1.14          1.64  10.020581  0.223038  363.052826
300  264.073578   6.693202  338.593414  0.298268  1.159160       7.495553    450.435638 -220.081299            1.14          1.64   8.269382  1.848847  644.874817
301  269.238342  -0.427609  339.610352  0.343308  1.532699       6.123546    660.364990 -247.094467            1.14          1.64   9.222093  2.791893  286.111023
302  270.450104   2.357841  341.350616  0.292609  1.245663       7.416487    424.521454 -276.245667            1.14          1.64   9.461119  0.498421  545.432495
303  266.287964   2.039545  344.737732  0.335007  1.087893       7.219258    473.890411 -246.379288            1.14          1.64   8.981250  0.461003  595.087036
304  268.009277   3.052685  341.297943  0.327213  1.349904       6.063478    514.034180 -272.909302            1.14          1.64   8.991079  1.400283  514.614990
305  274.093506   1.656049  337.240082  0.274369  1.219742       7.275568    538.288086 -271.897491            1.14          1.64  10.196686  2.869647  235.056625
306  268.183990   1.691912  338.208557  0.336682  1.354447       7.266647    461.648407 -175.857529            1.14          1.64   8.716914  1.324561  462.295288
307  279.544403  -0.669402  337.929047  0.315205  1.091676       8.529265    324.865082 -234.296310            1.14          1.64  11.006940  0.795727  447.768127
308  272.361053   3.686095  339.018860  0.314493  1.101379       7.099276    411.203491 -293.221008            1.14          1.64  10.225103  0.881565  619.120361
309  274.137726  -4.790826  345.305603  0.321787  1.347745       8.706638    362.319977 -193.948166            1.14          1.64  10.313023  2.164683  430.189270
310  265.729004  -4.054992  345.460876  0.299460  1.770411       8.719023    415.476776 -232.540909            1.14          1.64   8.121600  0.931447  408.480408
311  259.949707   8.950347  335.091431  0.330111  1.644024       8.373080    426.765686 -199.431320            1.14          1.64   7.863701  2.933214  647.262939
312  265.154572   2.137755  343.948059  0.312532  1.167906       8.722909    351.607727 -252.833725            1.14          1.64   9.088154  2.598989  588.454712
313  271.972046   6.265461  332.763092  0.339983  1.136349       6.132048    517.990234 -214.728683            1.14          1.64   9.780581  1.491490  318.698822
314  266.667572   1.951424  341.298096  0.331768  1.292677       7.520294    410.845032 -231.139526            1.14          1.64   8.550985  1.778003  640.413025
315  276.150116  -4.951507  345.939026  0.274946  1.447739      10.300605    238.514252 -287.548645            1.14          1.64  10.562491  1.122044  489.927246
316  257.181519   7.014312  338.473602  0.336828  1.862585       6.284100    634.622681 -287.730469            1.14          1.64   7.644169  2.624691  551.118225
317  265.030731   1.468131  344.707001  0.309202  1.183322       6.193393    522.916138 -254.444839            1.14          1.64   8.917006  2.893238  566.175110
318  256.786865   6.464920  339.796539  0.319735  1.894652       7.475676    565.005493 -294.276154            1.14          1.64   6.946455  1.887661  648.132324
319  263.306641   6.032406  335.925476  0.318780  1.785544       6.175522    649.331787 -227.068558            1.14          1.64   7.619314  2.055749  349.669952
320  270.451508  -1.775448  345.713379  0.289043  1.279119       8.125912    403.070984 -251.620041            1.14          1.64   9.730097  2.834545  464.254974
321  266.491547   7.162598  333.248230  0.318244  1.573882       6.993404    543.515808 -257.585114            1.14          1.64   8.193228  1.471126  302.452911
322  273.837708   5.889169  331.073944  0.339405  1.231746       7.425428    403.361816 -241.786713            1.14          1.64  10.048277  1.603321  515.738281
323  270.335632   0.860034  338.976715  0.335596  1.470786       6.484266    464.047699 -259.323090            1.14          1.64  10.120620  0.264285  599.556091
324  264.257233   0.505717  345.478973  0.298312  1.336421       8.402523    398.644836 -259.535797            1.14          1.64   8.643851  1.319746  639.311218
325  268.107727  -0.152772  340.814209  0.333290  1.363131       9.232468    229.188583 -201.852509            1.14          1.64   9.329540  2.434860  613.350525
326  273.342621  -6.273872  341.319611  0.330722  1.876576       8.411313    373.075073 -299.685669            1.14          1.64  10.055433  1.289981  372.229675
327  273.202484   4.401888  336.905334  0.284477  1.039561       8.894373    283.468323 -281.632019            1.14          1.64  10.659828  1.330746  584.894287
328  271.579315  -4.038730  344.036377  0.315610  1.565654       8.202481    381.929077 -271.310425            1.14          1.64   9.880970  1.716646  491.857819
329  266.496765  14.055374  329.674133  0.311387  1.349552       7.226505    474.026184 -292.380524            1.14          1.64   9.052776  1.859087  603.942383
330  274.402008   1.888743  332.412384  0.334483  1.507162       7.832883    375.650665 -291.823975            1.14          1.64  10.479733  1.948781  500.203278
331  266.866669  -3.259918  347.765045  0.284352  1.394692       8.004730    456.412933 -291.218201            1.14          1.64   9.300735  2.176664  353.239868
332  257.473694  11.116772  337.460327  0.308204  1.701139       6.781483    619.092407 -275.162781            1.14          1.64   7.286781  2.186616  542.577759
333  277.653931  -2.562037  338.428650  0.316947  1.417089       8.343763    376.543610 -269.144196            1.14          1.64  10.689440  1.879319  246.969284
334  266.973724  11.038267  332.896057  0.341108  1.037184       7.834024    373.535431 -238.788010            1.14          1.64   9.180869  2.834688  641.344666
335  260.846527   7.117668  334.413361  0.325082  1.829385       9.592910    287.866974 -212.386185            1.14          1.64   7.929463  2.499813  660.817749
336  265.287476   2.377069  341.944580  0.295138  1.337540       7.782971    462.045898 -275.514679            1.14          1.64   9.462956  2.022341  449.961700
337  255.662079  11.031672  340.308685  0.287193  1.404066       6.125377    683.250854 -293.186523            1.14          1.64   7.499975  0.509444  402.369843
338  264.413177   3.847806  338.205383  0.332359  1.468492       6.589507    500.946747 -240.668274            1.14          1.64   8.416467  2.200317  617.703796
339  255.737198  -4.969007  346.470917  0.305822  2.248903       8.806239    521.894653 -268.688751            1.14          1.64   7.468854  1.817463  505.810760
340  275.181671   0.031261  335.293243  0.347897  1.339781       7.662749    393.090851 -295.411926            1.14          1.64  11.538226  0.642721  506.412262
341  257.986145   6.772662  343.809143  0.272946  1.275112       8.194191    449.532562 -284.536316            1.14          1.64   8.306684  2.839726  690.851624
342  269.046204   4.427579  332.428619  0.332448  1.655906       7.422037    441.223755 -252.335602            1.14          1.64   9.366599  2.025873  474.549011
343  267.452881  -3.409291  347.172394  0.258377  1.570953       8.744125    396.615692 -295.455902            1.14          1.64   9.178512  2.864795  413.903809
344  264.494659   6.770844  337.446655  0.334272  1.162689       6.189482    550.103577 -200.731583            1.14          1.64   8.795012  2.672637  466.914734
345  284.645935  -2.271978  331.294434  0.342735  1.079112       8.032815    347.629303 -231.854401            1.14          1.64  11.637473  1.710560  315.152222
346  266.717743   6.833694  333.953003  0.327217  1.370300       8.536550    410.805969 -260.618805            1.14          1.64   8.919608  0.991175  575.113464
347  268.177612   5.834612  336.900665  0.303652  1.194229       7.537904    448.973846 -221.852768            1.14          1.64   8.344865  0.499491  551.542480
348  276.828125  -1.990045  340.350067  0.319631  1.266660       8.667293    313.827423 -269.419250            1.14          1.64  11.252146  1.350679  509.862305
349  257.993805   6.276348  340.101746  0.344701  1.764495       6.460716    600.433472 -292.656525            1.14          1.64   7.847825  1.542624  665.591797
350  257.424255   2.979505  346.444214  0.301402  1.110663       6.607949    598.717468 -230.905655            1.14          1.64   7.746423  1.921975  586.872437
351  262.615234  -1.143286  338.534393  0.346664  2.054488       7.448380    470.816803 -253.599152            1.14          1.64   8.484915  1.897993  595.042664
352  263.228973  10.692094  333.620667  0.276492  1.686087       8.053255    485.456879 -277.538513            1.14          1.64   7.738172  2.321030  430.769623
353  268.724304   0.087586  340.703308  0.326228  1.358276       7.012558    490.317383 -210.287109            1.14          1.64   8.526535  2.343419  381.574371
354  262.051117   0.110069  348.710419  0.292817  1.128464       8.524026    382.643127 -218.098679            1.14          1.64   8.220044  2.362257  633.962769
355  276.263458   3.705285  329.130981  0.337474  1.155645       6.416629    569.869690 -242.981750            1.14          1.64  11.341356  1.781620  206.998322
356  260.360687   7.526078  338.466064  0.293136  1.389651       8.327858    483.952423 -187.807312            1.14          1.64   7.541913  1.810009  567.889893
357  258.450439   8.980707  341.014801  0.312737  1.191673       6.192300    591.297546 -267.825409            1.14          1.64   7.766834  2.975930  686.706909
358  281.245087  -6.058650  347.016327  0.338405  1.129643       7.107962    390.197327 -172.505676            1.14          1.64  10.270569  2.379249  465.591400
359  275.305878  -8.593225  344.351196  0.334444  1.780976       8.031694    451.546051 -245.734192            1.14          1.64  10.140807  0.967431  123.494576
360  274.945953  -1.046013  342.419525  0.300742  1.170987       6.931223    474.285126 -226.534439            1.14          1.64  10.403603  1.838715  287.029053
361  273.115967   6.214091  328.125305  0.334106  1.328664       8.538364    312.920319 -278.483185            1.14          1.64  10.410678  1.533633  576.065430
362  273.740967  -1.281657  341.287506  0.325887  1.162307       8.194323    317.395569 -207.044388            1.14          1.64  10.210609  1.583470  589.482361
363  273.179565   5.879610  333.425659  0.288890  1.119418       6.952897    435.732941 -258.335907            1.14          1.64   9.675260  0.221829  367.572998
364  271.436279   2.101070  333.442841  0.304697  1.644347       8.925527    347.295532 -265.655365            1.14          1.64   9.411716  2.542706  447.587799
365  278.654877  -0.134256  331.854492  0.328056  1.377889       7.374954    436.077332 -268.689148            1.14          1.64  11.488354  2.732386  270.087616
366  267.951294   1.771428  339.458069  0.279218  1.474806       8.952201    365.873779 -257.469299            1.14          1.64   9.076145  1.965224  484.914062
367  270.050354   0.715847  342.143585  0.342275  1.196391       8.496016    332.033661 -230.440796            1.14          1.64   9.410592  2.537278  543.638794
368  264.217896  -2.661579  346.642181  0.305254  1.546562       7.676004    472.085388 -206.662170            1.14          1.64   7.920382  1.153308  490.506104
369  260.531311  11.198486  334.494781  0.268523  1.525392       8.678903    474.204498 -284.782227            1.14          1.64   8.579972  1.590986  589.977234
370  264.145630   3.628238  339.558533  0.267231  1.588636       8.290490    497.068207 -251.588608            1.14          1.64   8.117791  1.316231  249.854095
371  267.752625   1.569752  338.159241  0.347659  1.317965       8.485675    347.713104 -164.543320            1.14          1.64   8.581092  1.811191  600.382019
372  276.055969  -4.145473  343.117493  0.339994  1.372452       7.317170    406.882874 -246.998840            1.14          1.64  10.901068  1.033661  412.924652
373  273.843079   4.073806  333.160675  0.314629  1.234744       8.216093    373.710663 -247.938965            1.14          1.64  10.218793  1.255770  477.900879
374  259.305725  10.714699  337.075897  0.270416  1.427522       8.135248    495.893616 -279.143188            1.14          1.64   8.344669  1.870917  642.786377
375  260.755127   6.939274  339.999542  0.294246  1.341356       7.698544    500.342407 -295.681671            1.14          1.64   8.173831  0.989799  661.297974
376  265.830536   9.339400  334.280426  0.318127  1.276300       6.370683    531.076721 -252.175552            1.14          1.64   9.713425  1.216949  415.799561
377  262.147705   4.697774  337.837555  0.300159  1.679905       8.862200    415.477905 -220.534378            1.14          1.64   6.998113  0.842370  667.565308
378  267.301056  -0.817680  344.827057  0.299327  1.370268       6.693188    474.154266 -283.793030            1.14          1.64   9.874510  2.181233  549.980042
379  258.513397  -2.231567  346.744720  0.327503  1.678517       6.253688    620.325500 -246.472916            1.14          1.64   7.637457  1.820721  488.139801
380  273.592041  -0.953389  334.702393  0.331161  1.589921       8.358965    409.192596 -235.783279            1.14          1.64   9.445712  1.713907  242.564285
381  276.823669   7.353942  326.398804  0.310918  1.166856       6.498502    469.356323 -267.554535            1.14          1.64  10.105310  0.960716  259.916107
382  270.428650  -6.336764  351.001709  0.302437  1.286452       9.934140    295.862793 -204.499466            1.14          1.64   8.409224  1.524051  516.543396
383  270.459442   5.063359  335.525116  0.283605  1.284670       7.163674    434.054718 -264.553192            1.14          1.64   9.587869  1.344410  526.211365
384  266.618591   2.428686  334.300934  0.323197  1.990497       6.935436    494.419800 -277.597046            1.14          1.64   8.880180  2.841410  398.301025
385  261.799866   1.721392  335.589233  0.344586  1.944631      10.814631    323.107819 -245.208649            1.14          1.64   7.563035  1.099931  578.118713
386  275.520508   2.706058  334.144043  0.318953  1.266474       6.243656    521.737000 -230.143204            1.14          1.64  10.151089  0.616333  104.235855
387  258.435272   5.387178  341.437347  0.341862  1.339202       6.226774    609.239319 -217.143875            1.14          1.64   8.041748  2.224200  599.457642
388  270.205261   2.036227  339.990295  0.284904  1.312132       7.221280    469.158875 -291.740326            1.14          1.64  10.003615  1.405237  306.383698
389  261.695679   5.001204  337.401886  0.319737  1.897173       9.106239    350.669830 -268.718170            1.14          1.64   8.377256  1.765326  660.105347
390  273.533264  -1.882935  340.246582  0.301103  1.461920      10.566805    210.426071 -253.498535            1.14          1.64  10.076311  0.840726  593.641113
391  263.422516   2.093768  341.841888  0.300543  1.434493       7.012613    509.056702 -269.627930            1.14          1.64   8.767485  2.613132  466.167816
392  277.464569   1.406093  337.830322  0.313127  1.049049       8.558569    221.277435 -226.249603            1.14          1.64  10.222624  1.500586  612.301270
393  266.186066   0.403582  341.942932  0.306337  1.588804       7.102912    530.378967 -271.370728            1.14          1.64   9.287256  0.722626  222.523071
394  260.842255   9.197429  339.866150  0.210991  1.202991       8.458857    486.615356 -279.618774            1.14          1.64   7.853212  0.340144  307.686157
395  273.041321  -7.760811  349.642700  0.321678  1.426095       9.050407    368.675293 -192.031586            1.14          1.64   9.347098  0.403619  228.830765
396  257.864929   8.985621  336.849640  0.342072  1.610799       7.341120    559.883118 -230.944183            1.14          1.64   7.727214  2.254588  668.110413
397  269.756256   3.260092  336.026215  0.322968  1.357660       6.514247    494.701965 -235.126312            1.14          1.64   9.308385  2.710871  393.593994
398  264.883881   6.666470  335.674774  0.325212  1.419876       8.883509    323.107544 -230.000031            1.14          1.64   8.189826  2.605674  623.007385
399  270.513123  -4.758219  348.744476  0.336899  1.138742       7.087916    465.082489 -188.705490            1.14          1.64   9.237283  0.403565  375.281189
400  273.930664  -2.901516  347.178680  0.314378  1.120484       7.422637    412.258423 -232.624146            1.14          1.64  10.018615  1.649518  439.190491
401  266.744568   3.021163  344.278137  0.271588  1.094207       7.518314    458.043823 -273.901520            1.14          1.64   9.175800  1.030226  398.105194
402  276.513397  -0.739961  341.963196  0.322991  1.056528       7.097636    419.674835 -235.269913            1.14          1.64  10.353559  1.197183  320.928040
403  260.724518   4.824757  342.238434  0.274892  1.412334       6.750737    564.499390 -266.436462            1.14          1.64   8.145640  2.457541  448.035187
404  273.117798   3.609356  332.403656  0.348997  1.357805       7.769290    377.422333 -227.747604            1.14          1.64   9.276388  2.549858  501.617310
405  265.324829  -3.505422  345.643341  0.349562  1.411149       8.832012    367.530762 -221.753708            1.14          1.64   8.821984  1.346038  627.333923
406  269.724304  -1.945889  348.097565  0.250331  1.243112       8.477109    385.711823 -265.996643            1.14          1.64   9.014761  0.986354  495.668243
407  263.828918   7.195715  338.677917  0.231362  1.259750      10.689143    319.219421 -248.151749            1.14          1.64   7.621260  0.778180  588.244995
408  275.609924   3.890155  331.116211  0.335245  1.177559       6.768340    430.885162 -222.622025            1.14          1.64  10.126367  1.633265  407.867950
409  258.397491   6.134289  339.900024  0.318850  1.760077       6.155956    641.048706 -245.736588            1.14          1.64   7.833393  1.142704  438.091705
410  259.653564   2.060577  343.510498  0.336792  1.509358       7.137225    530.882751 -255.018143            1.14          1.64   8.215291  1.419647  682.825134
411  271.768463   1.598877  339.782654  0.315011  1.057109       8.615981    335.988953 -187.756210            1.14          1.64   8.837608  2.183157  529.495789
412  278.440704  -8.064754  347.913727  0.301227  1.593376       7.131568    578.861389 -278.908508            1.14          1.64  11.219376  2.171309  151.867493
413  273.724762   2.261917  335.373566  0.325262  1.310224       6.746961    462.966705 -254.203934            1.14          1.64   9.514344  0.524885  252.337418
414  256.704376  11.439618  336.437744  0.279264  1.544680       8.956529    478.675995 -251.084442            1.14          1.64   6.942693  1.737856  693.463684
415  264.462738   4.389686  342.186005  0.271629  1.258520       8.060036    436.080719 -292.381195            1.14          1.64   8.972450  0.993884  628.536743
416  272.129822   1.423134  342.147675  0.260676  1.095642       9.017478    362.885315 -279.706757            1.14          1.64   9.965749  0.938653  275.817780
