,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,11.464958190917969,33.68684768676758,37.33951950073242,0.23732393980026245,3.542494535446167,7.37927770614624,1179.6175537109375,119.43658447265625,7.3341569900512695,2.6946237087249756,240.4108428955078
std,6.118376731872559,10.787335395812988,8.409134864807129,0.03891947492957115,0.8796006441116333,1.533734679222107,321.86431884765625,61.79907989501953,1.313534140586853,0.8134070038795471,116.8730697631836
min,-13.448466300964355,-23.163278579711914,7.536717891693115,0.10712029784917831,1.1613247394561768,5.009364604949951,701.9224243164062,3.5158724784851074,5.017388343811035,0.25689375400543213,50.12565612792969
25%,7.762846350669861,27.95165729522705,32.051002502441406,0.21059494093060493,2.9273641705513,6.24852979183197,925.5336151123047,69.86145782470703,6.333848714828491,2.158102810382843,151.87406158447266
50%,12.691837787628174,35.18897819519043,38.56813049316406,0.23961640149354935,3.5692256689071655,7.126213073730469,1124.3333740234375,115.28206634521484,7.18778133392334,2.7701979875564575,220.0869903564453
75%,16.188003063201904,41.895005226135254,44.030938148498535,0.2689986675977707,4.285475373268127,8.270069122314453,1403.4937744140625,165.11165237426758,8.298745393753052,3.336578071117401,310.70452880859375
max,19.931377410888672,49.870967864990234,49.98262405395508,0.2996852397918701,4.999657154083252,13.843098640441895,1997.062255859375,249.96839904785156,12.36393928527832,3.995140790939331,644.4873657226562
