,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,11.557613372802734,34.263771057128906,37.636878967285156,0.23672035336494446,3.6128244400024414,7.388345718383789,1175.3563232421875,122.61007690429688,7.299543857574463,2.6833319664001465,245.63034057617188
std,6.013911247253418,9.588876724243164,7.545976638793945,0.039772454649209976,0.8466354608535767,1.4787092208862305,320.8118591308594,62.397586822509766,1.2342112064361572,0.8095625638961792,114.3628158569336
min,-12.253292083740234,-0.05642843618988991,9.969416618347168,0.11508916318416595,1.164801001548767,5.002184867858887,700.3788452148438,0.27250728011131287,5.023268222808838,0.5769026279449463,50.203433990478516
25%,7.92910623550415,28.80635976791382,33.09120845794678,0.20896494016051292,3.0377077460289,6.322687387466431,890.8077697753906,73.46257972717285,6.348188877105713,2.059317648410797,154.11892700195312
50%,12.522617816925049,35.76601028442383,38.67909812927246,0.24179822206497192,3.749168276786804,7.143361330032349,1140.5001220703125,122.49177551269531,7.285924434661865,2.799139976501465,231.92389678955078
75%,16.51571559906006,41.815937995910645,43.313777923583984,0.26896193623542786,4.267876505851746,8.265226602554321,1413.5086975097656,171.85018920898438,8.205854415893555,3.3223798871040344,317.8140411376953
max,19.90544319152832,49.95146560668945,49.952606201171875,0.29988154768943787,4.987288475036621,13.082270622253418,1952.9808349609375,249.1282196044922,11.594491958618164,3.998112916946411,620.610107421875
