,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,26.311920166015625,28.50714683532715,23.620872497558594,0.6973137259483337,3.4442381858825684,8.349263191223145,1278.612548828125,116.44451141357422,6.735739707946777,2.5515317916870117,233.0024871826172
std,11.266717910766602,12.557219505310059,12.168025016784668,0.06966208666563034,0.9899762272834778,1.989791750907898,340.41815185546875,62.991851806640625,1.0702807903289795,0.8678486347198486,113.18230438232422
min,-11.31827449798584,-20.924280166625977,0.060054268687963486,0.47192710638046265,1.0408368110656738,5.0054802894592285,702.4025268554688,0.2986590564250946,5.0011982917785645,0.4770946204662323,50.56792068481445
25%,18.825359344482422,20.79014015197754,14.693708896636963,0.6574500501155853,2.7056548595428467,6.82294225692749,984.1912078857422,72.19156646728516,5.882707357406616,1.8482106924057007,144.31983947753906
50%,28.343626022338867,30.33925724029541,22.774845123291016,0.7071387767791748,3.5233086347579956,8.118618488311768,1255.821533203125,109.47087097167969,6.638528823852539,2.668433427810669,221.8357925415039
75%,33.975953102111816,37.96610736846924,33.36410140991211,0.7514990866184235,4.2446311712265015,9.539061784744263,1538.77880859375,161.42969131469727,7.452504277229309,3.288053274154663,305.4674377441406
max,50.52666473388672,49.96920394897461,49.5936393737793,0.7999850511550903,4.997003078460693,13.967596054077148,1990.0484619140625,248.86782836914062,10.243606567382812,3.9775149822235107,672.18310546875
