,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-42.433860778808594,12.891963958740234,277.3417663574219,0.3226986527442932,4.195494174957275,8.059581756591797,763.365966796875,-88.84677124023438,6.424688339233398,1.1860575675964355,339.12872314453125
std,7.997618198394775,16.907047271728516,129.5418701171875,0.020902130752801895,1.2062270641326904,1.4041924476623535,145.1501922607422,113.95132446289062,0.9736186861991882,0.4682424068450928,54.10397720336914
min,-58.26742935180664,-31.7581729888916,0.03513573110103607,0.22858217358589172,1.0025988817214966,3.0721113681793213,404.0001525878906,-248.85646057128906,5.009498596191406,0.2011207491159439,250.07334899902344
25%,-48.1609411239624,1.68274787068367,318.83773040771484,0.3104265332221985,3.3767658472061157,7.208050489425659,658.8536224365234,-181.55209350585938,5.637739777565002,0.8100919425487518,293.9328155517578
50%,-43.6435489654541,12.794847965240479,337.3769226074219,0.32710450887680054,4.365614175796509,8.352535247802734,775.8419494628906,-111.5994873046875,6.242088317871094,1.210450291633606,334.1433868408203
75%,-38.435784339904785,26.34575891494751,349.0738296508789,0.3393950015306473,5.258088111877441,9.208717346191406,874.1374206542969,-16.787970542907715,7.116372227668762,1.5854706466197968,380.27024841308594
max,-4.831046104431152,51.92472457885742,359.8128967285156,0.34988605976104736,5.998746871948242,9.9984130859375,999.2410888671875,241.04244995117188,9.613215446472168,1.997033953666687,449.9255065917969
