,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-52.35929870605469,6.255528926849365,320.97259521484375,0.3000248968601227,4.038539886474609,7.885708808898926,865.6961669921875,-86.20745086669922,6.193639755249023,1.0033169984817505,330.7283935546875
std,4.494901180267334,9.548925399780273,89.22547912597656,0.0359063483774662,1.2872052192687988,1.3226999044418335,138.33935546875,120.92191314697266,0.6577457189559937,0.48659753799438477,104.93907165527344
min,-63.82133865356445,-23.709285736083984,0.0164498221129179,0.19146323204040527,1.0120177268981934,5.017811298370361,501.123291015625,-249.16229248046875,5.01185941696167,0.20113413035869598,100.69827270507812
25%,-55.4786262512207,0.9210703521966934,339.4275665283203,0.2761355936527252,3.1205034255981445,6.868643522262573,769.2451629638672,-181.02438354492188,5.728094100952148,0.6014744639396667,248.92685317993164
50%,-52.69253349304199,8.000225305557251,345.85755920410156,0.3052416741847992,4.200412273406982,8.042757987976074,874.1727600097656,-112.50276565551758,6.138058423995972,0.9575331211090088,343.6311950683594
75%,-49.44265270233154,13.681152105331421,351.41405487060547,0.32874687761068344,5.129229426383972,9.020473003387451,974.3908996582031,-3.1694191694259644,6.624163508415222,1.391250878572464,419.2177963256836
max,-35.53433609008789,19.966373443603516,359.7682800292969,0.34987062215805054,5.998376846313477,9.993011474609375,1099.937744140625,240.44561767578125,8.212100982666016,1.9963595867156982,499.84808349609375
