,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,4.7588114738464355,30.40145492553711,23.840072631835938,0.7188655734062195,3.5571908950805664,6.458766460418701,1105.7586669921875,154.46920776367188,6.525684356689453,3.0770301818847656,131.62310791015625
std,10.789509773254395,10.282578468322754,13.108074188232422,0.05157550051808357,0.8618370890617371,1.0988935232162476,292.08465576171875,57.15805435180664,1.069967269897461,0.6220375895500183,50.11074447631836
min,-28.273746490478516,-12.769963264465332,0.004184036049991846,0.4965640604496002,1.059065580368042,5.000829219818115,701.402099609375,2.6523609161376953,5.001194953918457,1.0736541748046875,50.42280197143555
25%,-2.312496840953827,23.131875038146973,13.377796411514282,0.6849611103534698,2.975562870502472,5.585316300392151,863.47607421875,113.27249908447266,5.690226197242737,2.6804447770118713,91.5276927947998
50%,4.206854581832886,31.458260536193848,22.606715202331543,0.7267006933689117,3.5699084997177124,6.169857978820801,1050.6871337890625,164.303955078125,6.378281354904175,3.188191771507263,126.325927734375
75%,12.81330943107605,37.99417209625244,33.88128089904785,0.7595849186182022,4.2769458293914795,7.113536953926086,1290.2549438476562,200.19586181640625,7.179771900177002,3.575559139251709,163.4045295715332
max,41.601097106933594,49.54442596435547,49.919593811035156,0.7997922897338867,4.997799396514893,12.49688720703125,1964.2099609375,248.35086059570312,10.507970809936523,3.997335433959961,331.0360412597656
