,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,88.91632843017578,-18.594480514526367,68.99400329589844,0.5693495273590088,2.921950578689575,7.030237197875977,1137.56005859375,-62.60963821411133,1.1400001049041748,1.6399998664855957,7.201473712921143,2.714614152908325,211.24484252929688
std,9.330009460449219,15.41435718536377,113.12884521484375,0.1481446772813797,1.0403470993041992,1.3387575149536133,312.24737548828125,127.17904663085938,7.994834049895871e-06,1.0023373761214316e-05,1.3298251628875732,0.8355374336242676,132.8931427001953
min,72.2989273071289,-49.204471588134766,0.18053439259529114,0.14118637144565582,1.0071418285369873,5.003057956695557,702.3792114257812,-249.37490844726562,1.1399999856948853,1.6399999856948853,5.0086164474487305,0.41911932826042175,50.61497116088867
25%,82.37250709533691,-30.695257663726807,14.758302211761475,0.45277510583400726,2.0903866291046143,6.070964455604553,882.9129791259766,-172.18102264404297,1.1399999856948853,1.6399999856948853,6.195019245147705,2.118415951728821,112.58002090454102
50%,86.84408950805664,-19.61162567138672,26.241952896118164,0.5850647985935211,2.861982583999634,6.8249781131744385,1064.118896484375,-84.81563949584961,1.1399999856948853,1.6399999856948853,7.080521106719971,2.8401323556900024,178.9561767578125
75%,93.0726146697998,-7.487323045730591,41.431715965270996,0.6936359852552414,3.6925474405288696,7.738524436950684,1346.7109069824219,48.43619632720947,1.1399999856948853,1.6399999856948853,7.965073823928833,3.4000884294509888,277.4706344604492
max,124.81202697753906,29.784652709960938,359.98150634765625,0.7992873787879944,4.972620487213135,13.373869895935059,1998.7830810546875,249.61376953125,1.1399999856948853,1.6399999856948853,13.684597969055176,3.9974541664123535,686.683349609375
