,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-47.402801513671875,-10.77151870727539,168.078125,0.3159940242767334,4.003706932067871,8.027704238891602,844.2124633789062,-117.81997680664062,6.277449607849121,1.1211901903152466,288.0865478515625
std,5.800017833709717,8.11800765991211,171.19393920898438,0.02409258857369423,1.2798737287521362,1.1942331790924072,148.68472290039062,102.75894927978516,0.8373047113418579,0.47852087020874023,103.66548156738281
min,-60.85234832763672,-41.6889533996582,0.005710822995752096,0.21834757924079895,1.0184675455093384,5.110105037689209,523.021484375,-249.97598266601562,5.007869243621826,0.20953084528446198,101.84087371826172
25%,-51.22549533843994,-15.502314567565918,7.159176230430603,0.3004111126065254,3.0671481490135193,7.197857975959778,728.2835235595703,-198.74438858032227,5.609716534614563,0.7444028854370117,201.87154006958008
50%,-47.87162208557129,-9.182803630828857,23.628960609436035,0.32054303586483,4.069415092468262,8.15111494064331,863.037109375,-140.8761749267578,6.184403419494629,1.1203246712684631,283.45619201660156
75%,-44.07537269592285,-4.332032918930054,352.32989501953125,0.33590029925107956,5.109050035476685,8.957427024841309,962.760498046875,-63.70731067657471,6.752992391586304,1.5067357122898102,370.9285202026367
max,-18.80390167236328,-0.01408844068646431,359.8153076171875,0.3497537672519684,5.991589069366455,9.969594955444336,1098.9434814453125,230.02383422851562,9.503791809082031,1.98795485496521,498.5899963378906
