,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-48.77003479003906,-10.61677360534668,182.36380004882812,0.31640639901161194,4.030961990356445,8.095056533813477,877.794921875,-116.77735900878906,6.23057746887207,1.1716642379760742,299.1461486816406
std,5.273776054382324,7.311574935913086,173.2949676513672,0.025283658877015114,1.2976821660995483,1.2104129791259766,146.81915283203125,101.70016479492188,0.7740489840507507,0.4527362883090973,102.09906768798828
min,-60.4599723815918,-32.619483947753906,0.020563125610351562,0.21619859337806702,1.004265546798706,5.143382549285889,500.9309997558594,-249.99652099609375,5.011809825897217,0.24362480640411377,101.48539733886719
25%,-52.65263557434082,-15.386096715927124,6.330453038215637,0.3013162836432457,3.059965670108795,7.198177099227905,784.6726379394531,-195.96348190307617,5.631787180900574,0.8169772922992706,223.79867553710938
50%,-49.34455490112305,-9.265326976776123,335.9614562988281,0.32251502573490143,4.260990381240845,8.254066467285156,907.2008972167969,-132.8365478515625,6.100641965866089,1.1775345206260681,300.7164306640625
75%,-45.43679714202881,-4.632923603057861,354.30873107910156,0.33662810176610947,5.09754753112793,9.093976259231567,997.8428802490234,-68.32095336914062,6.719837665557861,1.5211361944675446,378.32555389404297
max,-29.365083694458008,-0.0009917552815750241,359.97930908203125,0.3498302698135376,5.994935035705566,9.994471549987793,1099.746337890625,229.36679077148438,9.045039176940918,1.9964605569839478,497.54046630859375
