,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-48.505836486816406,-1.5287868976593018,180.96908569335938,0.31800195574760437,4.089145660400391,8.019742012023926,813.9202270507812,-99.538818359375,6.502696514129639,1.0873794555664062,350.3439025878906
std,4.7575201988220215,12.795427322387695,172.7142791748047,0.02316819690167904,1.2695307731628418,1.318985939025879,129.73851013183594,115.25438690185547,0.8836567997932434,0.46899881958961487,55.47093200683594
min,-59.1419677734375,-39.7252311706543,0.08053165674209595,0.2253538966178894,1.041131854057312,3.4518446922302246,440.1470642089844,-248.51756286621094,5.013040065765381,0.20201487839221954,250.55673217773438
25%,-51.78562927246094,-11.225376844406128,6.872943997383118,0.30339863151311874,3.212962567806244,7.167683362960815,725.3284759521484,-192.75518417358398,5.844500184059143,0.7440822720527649,303.67664337158203
50%,-48.913835525512695,-0.2978595644235611,333.2809600830078,0.3223203122615814,4.221807956695557,8.14490270614624,844.3955993652344,-125.62027740478516,6.4618613719940186,1.076369047164917,351.55580139160156
75%,-45.8085994720459,8.495512962341309,353.9966812133789,0.3368224576115608,5.174243927001953,9.083255529403687,921.377685546875,-23.38765525817871,7.033657193183899,1.4684697389602661,396.8078384399414
max,-31.048463821411133,28.780691146850586,359.93499755859375,0.3496832847595215,5.99801778793335,9.989324569702148,999.2984008789062,249.74107360839844,10.232333183288574,1.9946433305740356,449.8861083984375
