,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-48.06993103027344,-1.7637027502059937,183.93336486816406,0.31785592436790466,4.152736186981201,8.101083755493164,805.389892578125,-86.06289672851562,6.587316513061523,1.1150437593460083,348.7384033203125
std,4.987143516540527,13.627854347229004,171.5530548095703,0.02254604548215866,1.2032761573791504,1.335142731666565,128.51681518554688,118.49443817138672,0.8772035837173462,0.47545933723449707,56.017189025878906
min,-59.90407180786133,-38.534080505371094,0.12911120057106018,0.24652975797653198,1.0001778602600098,3.5277984142303467,400.1949157714844,-248.8858642578125,5.006357669830322,0.20500750839710236,250.16921997070312
25%,-51.605844497680664,-11.697957515716553,7.301678538322449,0.303544782102108,3.28535395860672,7.3920769691467285,720.6857757568359,-181.4248504638672,5.932140111923218,0.7713972926139832,300.0676727294922
50%,-48.69122314453125,-1.3700944185256958,333.5265197753906,0.32182277739048004,4.356263875961304,8.357670307159424,828.4136352539062,-101.2523193359375,6.527037143707275,1.10494464635849,351.1693572998047
75%,-44.954861640930176,7.554263114929199,352.88243865966797,0.3355363681912422,5.109921813011169,9.125604152679443,910.7314453125,-7.194671273231506,7.112932443618774,1.5198854804039001,396.2122344970703
max,-28.235078811645508,31.403751373291016,359.8570861816406,0.34956181049346924,5.991349220275879,9.995351791381836,998.6567993164062,243.04258728027344,9.236024856567383,1.9875909090042114,448.9037780761719
