,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-12.065570831298828,22.145801544189453,59.327693939208984,0.3037026524543762,3.469093084335327,6.540857315063477,1120.3770751953125,116.60173797607422,6.774291038513184,3.145824909210205,119.69326782226562
std,8.364944458007812,14.089058876037598,14.417283058166504,0.032826002687215805,0.9053929448127747,1.1430027484893799,321.1076354980469,74.465576171875,1.129393219947815,0.5882679224014282,48.375064849853516
min,-41.35063934326172,-34.64759063720703,18.264665603637695,0.2019355744123459,1.1045169830322266,5.005594253540039,700.1206665039062,-134.1011505126953,5.016246318817139,1.0949329137802124,50.00742721557617
25%,-17.506381034851074,13.17345118522644,49.21665096282959,0.2832024618983269,2.8009302616119385,5.649227499961853,851.8543243408203,66.73637008666992,5.924589276313782,2.7755196690559387,82.66765403747559
50%,-10.535271167755127,24.019721031188965,58.68479537963867,0.3073262870311737,3.5235096216201782,6.354471683502197,1051.5032348632812,123.41439056396484,6.673078536987305,3.284926414489746,110.04158020019531
75%,-5.282874584197998,32.020033836364746,69.57468605041504,0.3317074775695801,4.212610840797424,7.1866350173950195,1309.5397338867188,172.66417694091797,7.438183307647705,3.597362458705902,150.54534149169922
max,-0.00030602660262957215,49.617523193359375,98.4954605102539,0.3497147262096405,4.994009494781494,12.049530982971191,1996.6116943359375,249.9934844970703,14.247864723205566,3.9986469745635986,311.69659423828125
