,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-12.280406951904297,24.25244140625,60.18258285522461,0.30119314789772034,3.4803314208984375,6.5430755615234375,1101.68994140625,124.12054443359375,6.642773628234863,3.1405014991760254,114.6744384765625
std,8.77588176727295,12.157337188720703,13.562127113342285,0.03263622522354126,0.8825967907905579,1.1174718141555786,311.8992004394531,69.02674865722656,1.0605043172836304,0.6175960898399353,46.70540237426758
min,-40.93267822265625,-36.6535758972168,23.620180130004883,0.20033548772335052,1.1188429594039917,5.0042595863342285,700.0317993164062,-229.05355834960938,5.00100040435791,1.0564610958099365,50.11564254760742
25%,-17.606810092926025,17.40368938446045,51.46727180480957,0.27790287882089615,2.839329481124878,5.695714235305786,834.3025970458984,81.21769332885742,5.79926323890686,2.7376052737236023,78.26875686645508
50%,-10.579051494598389,25.602473258972168,59.93741226196289,0.30573850870132446,3.568494439125061,6.295682430267334,1026.2322998046875,127.98893737792969,6.522620916366577,3.2537014484405518,105.20283889770508
75%,-5.0235373973846436,33.365384101867676,69.80979347229004,0.3273354023694992,4.175074577331543,7.162559151649475,1302.5554504394531,176.86813354492188,7.360363125801086,3.6417320370674133,145.63241958618164
max,-0.012099209241569042,47.789344787597656,99.24459838867188,0.3499654531478882,4.999936580657959,13.353117942810059,1973.0047607421875,248.5072021484375,12.223347663879395,3.9998512268066406,257.9231262207031
