,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,17.665084838867188,39.2199592590332,29.202499389648438,0.7295388579368591,3.668949604034424,7.495667457580566,1175.35107421875,167.03070068359375,6.508766174316406,2.634753704071045,237.77781677246094
std,11.512664794921875,7.42305850982666,11.236655235290527,0.05600199103355408,0.7656197547912598,1.6491841077804565,316.0638427734375,53.89703369140625,0.9205552935600281,0.846453070640564,95.55028533935547
min,-15.022977828979492,11.79422664642334,0.5306380987167358,0.48925840854644775,1.1389416456222534,5.0074310302734375,700.636962890625,2.093870162963867,5.001407146453857,0.5104595422744751,51.36204528808594
25%,8.800926208496094,34.69987487792969,21.145800590515137,0.7081081867218018,3.1860554814338684,6.225880861282349,921.5805969238281,131.5483283996582,5.798404574394226,2.0266393423080444,168.16829299926758
50%,18.32809066772461,40.55435752868652,30.412074089050293,0.7401491403579712,3.795863151550293,7.288762331008911,1121.8106689453125,173.8883514404297,6.4200170040130615,2.7044562101364136,231.1889877319336
75%,25.432841777801514,45.05491256713867,37.95981216430664,0.7719829976558685,4.263777017593384,8.401852369308472,1398.2372131347656,208.47744369506836,7.146505236625671,3.3214873671531677,305.59571838378906
max,46.409996032714844,49.96965026855469,49.851707458496094,0.7998327612876892,4.993832588195801,14.37312126159668,1986.2196044921875,249.78244018554688,10.346983909606934,3.9931535720825195,630.9010009765625
