,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,18.181495666503906,37.80570983886719,29.46237564086914,0.7160767316818237,3.6357743740081787,7.462656497955322,1208.950927734375,161.28817749023438,6.556432723999023,2.7007460594177246,236.31655883789062
std,11.682884216308594,8.232385635375977,11.721345901489258,0.061962276697158813,0.7596591711044312,1.652747392654419,341.9322509765625,54.885135650634766,0.9951160550117493,0.8111117482185364,104.41136932373047
min,-15.152678489685059,11.28699779510498,1.3903310298919678,0.44885653257369995,1.3940123319625854,5.004517078399658,700.241455078125,10.296412467956543,5.0011396408081055,0.4609898328781128,51.726478576660156
25%,10.388665437698364,32.6684627532959,20.924936294555664,0.6792723089456558,3.0856257677078247,6.141101121902466,912.7106018066406,124.06667518615723,5.753916144371033,2.1298676133155823,152.75506973266602
50%,18.599271774291992,39.51682472229004,30.157673835754395,0.7305215299129486,3.666701078414917,7.213557481765747,1173.7208251953125,168.83334350585938,6.437676668167114,2.8001506328582764,224.29186248779297
75%,26.404818058013916,44.03136157989502,39.46603012084961,0.7625318467617035,4.2134257555007935,8.388289451599121,1460.5784301757812,202.20849990844727,7.175174713134766,3.341834843158722,308.0794448852539
max,48.36515426635742,49.873470306396484,49.82154083251953,0.7997209429740906,4.985406875610352,13.510090827941895,1996.4732666015625,249.4670867919922,10.880053520202637,3.993342638015747,575.0572509765625
