,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-45.6517333984375,11.743398666381836,297.427978515625,0.32263490557670593,4.057154178619385,8.233380317687988,798.0614013671875,-102.46558380126953,6.381255149841309,1.1259331703186035,341.19146728515625
std,6.97898530960083,14.627531051635742,115.99683380126953,0.020379336550831795,1.250433325767517,1.2090543508529663,134.1278839111328,111.79727935791016,0.8689907193183899,0.47120171785354614,50.733001708984375
min,-59.16253662109375,-23.72031021118164,0.08588622510433197,0.23925431072711945,1.025162696838379,4.119765758514404,405.67724609375,-249.1074676513672,5.000784873962402,0.20986180007457733,250.33384704589844
25%,-50.62803649902344,1.2743093073368073,331.02599334716797,0.31076114624738693,3.2058469653129578,7.498791933059692,700.13720703125,-189.39982223510742,5.732897400856018,0.744668111205101,299.19629669189453
50%,-46.879446029663086,11.211989879608154,342.3644256591797,0.3264305144548416,4.146316051483154,8.440731048583984,820.0841369628906,-125.86532974243164,6.2809553146362305,1.1036149859428406,335.5057373046875
75%,-42.27690315246582,22.036136150360107,351.97570037841797,0.33922064304351807,5.1243298053741455,9.147880554199219,909.1277618408203,-33.65773010253906,6.908978581428528,1.5039017796516418,385.30374908447266
max,2.8037331104278564,55.28411865234375,359.93670654296875,0.34997043013572693,5.996067047119141,9.988784790039062,997.7393798828125,245.89996337890625,10.257611274719238,1.9962081909179688,448.9117126464844
