,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,2.10360050201416,29.664857864379883,25.50820541381836,0.2298167645931244,3.443878650665283,6.601769924163818,1121.553466796875,163.89291381835938,8.124013900756836,3.057833671569824,145.87794494628906
std,9.360507011413574,11.141684532165527,12.047471046447754,0.039133135229349136,0.8337233066558838,1.1035363674163818,292.79058837890625,49.945674896240234,1.5480176210403442,0.6417032480239868,65.35791778564453
min,-27.895044326782227,-7.648727893829346,0.12664289772510529,0.10399546474218369,1.127413272857666,5.003502368927002,700.4425659179688,25.819686889648438,5.058947563171387,0.7833201885223389,50.074588775634766
25%,-4.167523145675659,23.240286350250244,16.661598682403564,0.2020428106188774,2.884737014770508,5.742435336112976,890.7191467285156,129.57926559448242,7.00866973400116,2.622316598892212,95.98423957824707
50%,2.8121848106384277,31.207207679748535,25.52406406402588,0.23156722635030746,3.5113085508346558,6.40800142288208,1072.232177734375,167.8266372680664,7.992581367492676,3.145249843597412,134.72677612304688
75%,9.073305606842041,37.68660354614258,34.7959623336792,0.26123035699129105,4.099633097648621,7.309729695320129,1311.2681884765625,202.63793563842773,9.074973106384277,3.576280117034912,187.01265716552734
max,19.99464225769043,49.910255432128906,49.78584671020508,0.2986801564693451,4.984925746917725,10.275240898132324,1987.090087890625,249.86573791503906,15.006865501403809,3.999000072479248,438.7334289550781
