,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-46.02889633178711,11.286417007446289,275.1541748046875,0.3152996599674225,4.309240818023682,7.921042442321777,794.0286865234375,-47.8277587890625,6.52036190032959,1.1284823417663574,348.3156433105469
std,6.615598201751709,15.455303192138672,135.65663146972656,0.02560591883957386,1.1773765087127686,1.5432106256484985,139.32252502441406,130.0179443359375,0.9043260812759399,0.47660940885543823,54.7636604309082
min,-59.41520690917969,-29.079504013061523,0.2097163200378418,0.23035508394241333,1.0821988582611084,3.01478910446167,415.3238220214844,-249.23345947265625,5.002431869506836,0.20444588363170624,250.0819549560547
25%,-50.86311721801758,0.23643705993890762,323.6714172363281,0.2992032915353775,3.480716824531555,6.952871203422546,707.146240234375,-157.46974563598633,5.839635372161865,0.7683844566345215,301.76136016845703
50%,-46.87404823303223,12.047359943389893,340.81878662109375,0.3209265321493149,4.507889747619629,8.300914764404297,811.8306579589844,-61.96561622619629,6.442809104919434,1.1315619349479675,345.4763488769531
75%,-42.22612953186035,22.19441556930542,349.70838928222656,0.33674271404743195,5.277134656906128,9.171042919158936,905.5530853271484,49.51400852203369,7.113154053688049,1.528481811285019,395.0862579345703
max,-18.575414657592773,51.38744354248047,359.98516845703125,0.34992435574531555,5.978206634521484,9.990495681762695,999.11865234375,249.82032775878906,10.203322410583496,1.9984097480773926,449.99176025390625
