,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,16.62639045715332,22.18628692626953,20.173595428466797,0.6449246406555176,5.5000433921813965,9.073805809020996,1345.384765625,128.49668884277344,7.85491943359375,2.976335048675537,140.7633056640625
std,12.395219802856445,13.179977416992188,11.965572357177734,0.04104743152856827,1.5700139999389648,1.7246061563491821,356.6794128417969,64.64054870605469,1.6317176818847656,0.6358548998832703,59.33203887939453
min,-19.940336227416992,-16.767541885375977,0.00012010059435851872,0.5189103484153748,1.5234037637710571,5.012495040893555,707.4430541992188,0.8536187410354614,5.005244255065918,0.9742006659507751,50.489505767822266
25%,8.601471900939941,13.296635389328003,11.079272270202637,0.6180241256952286,4.434556484222412,7.840994119644165,1056.5149230957031,79.11533737182617,6.668899416923523,2.5412760376930237,93.18277549743652
50%,17.044560432434082,23.458101272583008,18.631876945495605,0.6531000733375549,5.578245162963867,9.094836711883545,1339.8344116210938,127.21200180053711,7.6668219566345215,3.001131296157837,132.4073486328125
75%,25.593613147735596,32.334818840026855,28.6070556640625,0.6784111261367798,6.773073434829712,10.246456861495972,1639.6913146972656,179.62177658081055,8.91873574256897,3.4932518005371094,182.51118850708008
max,53.23320388793945,49.739280700683594,49.11933898925781,0.6999136209487915,7.994996547698975,13.960737228393555,1999.391845703125,249.1800079345703,14.805397033691406,3.9979493618011475,374.61358642578125
