,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-13.286151885986328,8.546788215637207,54.99767303466797,0.30544406175613403,3.4026694297790527,6.768703937530518,1190.868408203125,92.70872497558594,6.452395439147949,3.066434860229492,114.0086669921875
std,8.50753402709961,17.24827003479004,19.255496978759766,0.029167115688323975,0.9633727669715881,1.2227081060409546,337.7763671875,98.2090072631836,1.057350516319275,0.6364278793334961,44.28324508666992
min,-40.43015670776367,-37.769474029541016,2.8257088661193848,0.2085798680782318,1.0072264671325684,5.009461402893066,700.627685546875,-247.4361114501953,5.022756576538086,0.8800885081291199,50.2483024597168
25%,-18.88459825515747,-3.770039975643158,41.77080726623535,0.28851091116666794,2.7241567373275757,5.807851314544678,915.9029846191406,33.76913261413574,5.6292935609817505,2.6653396487236023,78.9748306274414
50%,-12.449201107025146,10.063486099243164,55.21965789794922,0.30906639993190765,3.5091676712036133,6.545752763748169,1136.2554321289062,105.07508087158203,6.172744035720825,3.1562178134918213,106.11542129516602
75%,-6.743369221687317,21.94722557067871,69.12063598632812,0.3292665109038353,4.142666816711426,7.583898901939392,1438.7083740234375,167.85470962524414,7.126842737197876,3.590532660484314,140.98990631103516
max,-0.08734840154647827,44.711212158203125,107.75872039794922,0.34980231523513794,4.992201805114746,12.091629981994629,1993.7686767578125,246.94529724121094,10.941690444946289,3.990323066711426,294.78167724609375
