,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-28.303661346435547,3.0847361087799072,16.425182342529297,0.3064815402030945,3.0765042304992676,15.004629135131836,1392.01220703125,161.60040283203125,1.1400001049041748,1.6399998664855957,6.367043495178223,1.6139516830444336,618.1531372070312
std,5.2794365882873535,9.079740524291992,22.294025421142578,0.02096051163971424,0.6430720686912537,0.5451773405075073,324.9647521972656,54.71881103515625,7.994834049895871e-06,1.0023373761214316e-05,0.5959838628768921,0.6953228712081909,59.039676666259766
min,-43.457794189453125,-26.209714889526367,0.8785334229469299,0.25931602716445923,1.0348528623580933,14.007723808288574,801.9686889648438,50.908599853515625,1.1399999856948853,1.6399999856948853,5.012407302856445,0.24342560768127441,215.22781372070312
25%,-32.18064308166504,-2.817824423313141,10.617475509643555,0.28898658603429794,2.684185743331909,14.550347089767456,1122.46484375,120.24706649780273,1.1399999856948853,1.6399999856948853,5.9450037479400635,1.085865467786789,589.7504272460938
50%,-28.8222074508667,3.783239960670471,15.23166275024414,0.3070911169052124,3.1692070960998535,14.980977535247803,1396.1994018554688,156.37113189697266,1.1399999856948853,1.6399999856948853,6.3134589195251465,1.5791470408439636,626.2730407714844
75%,-24.74413251876831,9.583435773849487,19.523762226104736,0.32377900928258896,3.5989304780960083,15.441035032272339,1652.4130249023438,197.32780838012695,1.1399999856948853,1.6399999856948853,6.72398841381073,2.1686747074127197,661.8449096679688
max,-13.337841033935547,24.03820037841797,359.8034973144531,0.34960752725601196,3.9998507499694824,15.998106956481934,1996.5364990234375,298.56903076171875,1.1399999856948853,1.6399999856948853,8.25499439239502,2.9945456981658936,699.8359985351562
