,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-28.113882064819336,1.858233094215393,17.78822135925293,0.30358219146728516,3.030384063720703,14.99860954284668,1398.955322265625,162.68687438964844,1.1400001049041748,1.6399998664855957,6.3900146484375,1.5936766862869263,618.5718994140625
std,5.44841194152832,8.847188949584961,26.83728790283203,0.020880330353975296,0.6583519577980042,0.535298228263855,320.5423278808594,53.06349563598633,7.994834049895871e-06,1.0023373761214316e-05,0.6046155691146851,0.669171929359436,58.91581726074219
min,-43.02388381958008,-33.14356231689453,0.815113365650177,0.253763884305954,1.0993945598602295,14.014266014099121,800.3675537109375,51.638187408447266,1.1399999856948853,1.6399999856948853,5.09964656829834,0.24027423560619354,261.1305236816406
25%,-31.734407424926758,-3.986670672893524,11.276611328125,0.2881917953491211,2.61163592338562,14.558122634887695,1150.8458251953125,123.03169059753418,1.1399999856948853,1.6399999856948853,5.961347699165344,1.0755662620067596,589.2353668212891
50%,-28.711456298828125,2.0101730823516846,15.981459617614746,0.3003375679254532,3.1058369874954224,15.020493030548096,1391.8289794921875,161.77545166015625,1.1399999856948853,1.6399999856948853,6.363447427749634,1.579554796218872,627.9844970703125
75%,-24.42976713180542,7.798746466636658,20.406278133392334,0.3206563964486122,3.5688687562942505,15.419185876846313,1651.8191223144531,198.24216079711914,1.1399999856948853,1.6399999856948853,6.799169421195984,2.1009896993637085,660.6334533691406
max,-8.782347679138184,26.923154830932617,357.5742492675781,0.3495473861694336,3.996659517288208,15.986556053161621,1990.984619140625,298.9975280761719,1.1399999856948853,1.6399999856948853,8.309860229492188,2.9985218048095703,699.9754028320312
