,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-0.05084428936243057,-31.026256561279297,94.1669921875,0.139770969748497,3.350114583969116,19.377927780151367,931.637451171875,62.31640625,16.476909637451172,1.1630325317382812,432.4171447753906
std,12.18098258972168,8.223443031311035,13.765436172485352,0.048578377813100815,1.0177229642868042,5.226189136505127,280.3443298339844,124.00598907470703,2.3369874954223633,0.47286882996559143,68.6084976196289
min,-33.625572204589844,-52.95449447631836,58.28723907470703,0.05014393478631973,1.0129106044769287,10.042534828186035,500.427001953125,-243.9449005126953,10.156935691833496,0.22422358393669128,220.30923461914062
25%,-8.91053581237793,-36.37723922729492,85.19319915771484,0.10449525155127048,2.63299161195755,15.129387140274048,684.9430236816406,-25.64203977584839,14.883435249328613,0.7651051431894302,391.35630798339844
50%,-0.05343924928456545,-31.031310081481934,93.8726921081543,0.13841675221920013,3.469900608062744,19.337178230285645,916.8373718261719,88.5868911743164,16.394036293029785,1.1496930122375488,425.8805847167969
75%,8.247291564941406,-25.826066493988037,103.07338905334473,0.16684602573513985,4.192724704742432,23.63636589050293,1129.1880187988281,164.2279396057129,18.00131607055664,1.5613465309143066,467.1591796875
max,40.91779708862305,0.33765479922294617,139.2976531982422,0.34674015641212463,4.9928998947143555,29.908416748046875,1496.4921875,249.9898223876953,25.996337890625,1.9972031116485596,653.3873901367188
