,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-29.700489044189453,0.9828214645385742,13.341028213500977,0.29769593477249146,2.90567946434021,15.030259132385254,1397.7279052734375,158.35879516601562,1.1400001049041748,1.6399998664855957,6.452340126037598,1.5716204643249512,631.6469116210938
std,4.4430131912231445,5.049623966217041,3.8693761825561523,0.01581077091395855,0.6359362602233887,0.5436211824417114,314.8174133300781,45.62010955810547,7.994834049895871e-06,1.0023373761214316e-05,0.6240421533584595,0.6743578314781189,47.2168083190918
min,-45.473472595214844,-9.927480697631836,0.16393715143203735,0.25294026732444763,1.0846121311187744,14.00078010559082,805.154541015625,52.47575759887695,1.1399999856948853,1.6399999856948853,5.009056568145752,0.26565834879875183,469.1261291503906
25%,-32.74809455871582,-2.912769854068756,10.664650678634644,0.2872565686702728,2.4799134135246277,14.592790365219116,1140.3185119628906,125.40395164489746,1.1399999856948853,1.6399999856948853,6.030548334121704,1.028678983449936,604.0337524414062
50%,-29.947120666503906,0.9680529236793518,13.814470767974854,0.2962161749601364,2.9548078775405884,15.060675621032715,1386.5302124023438,158.3686294555664,1.1399999856948853,1.6399999856948853,6.422543525695801,1.5275092720985413,641.6130065917969
75%,-26.929763793945312,5.332593679428101,16.152303218841553,0.30864833295345306,3.3631972074508667,15.49687147140503,1653.9636535644531,193.4829330444336,1.1399999856948853,1.6399999856948853,6.8731924295425415,2.038433790206909,667.2438049316406
max,-17.207904815673828,9.978311538696289,19.98541259765625,0.3447131812572479,3.999772548675537,15.999480247497559,1999.1385498046875,248.94837951660156,1.1399999856948853,1.6399999856948853,8.520262718200684,2.9988515377044678,699.5707397460938
