,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-44.47393798828125,-1.872378945350647,178.65371704101562,0.32227686047554016,4.118253231048584,7.934994697570801,769.6725463867188,-66.81421661376953,6.419852256774902,1.1963013410568237,343.1171875
std,6.825979232788086,15.573732376098633,168.18209838867188,0.021472236141562462,1.232925534248352,1.4547771215438843,148.4935302734375,123.72320556640625,0.8750980496406555,0.4659035801887512,55.5931510925293
min,-59.467525482177734,-39.79084777832031,0.036029983311891556,0.2478194236755371,1.0742812156677246,3.064225196838379,400.46258544921875,-248.9683837890625,5.00424861907959,0.20006245374679565,250.62396240234375
25%,-49.34746170043945,-12.956008911132812,10.576004028320312,0.30876705050468445,3.2946820855140686,6.993135690689087,660.5088348388672,-170.2660789489746,5.749725341796875,0.8621037304401398,296.2521057128906
50%,-45.071340560913086,-2.232521414756775,44.23988342285156,0.325310155749321,4.234338045120239,8.245956897735596,794.4310913085938,-88.06303787231445,6.298882007598877,1.1872949004173279,336.487548828125
75%,-40.17988681793213,9.832499980926514,350.8502502441406,0.34091347455978394,5.1062198877334595,9.121036052703857,887.7738952636719,27.481364727020264,7.01836621761322,1.6085977256298065,391.13919830322266
max,-17.610435485839844,38.62053680419922,359.9433288574219,0.3498873710632324,5.998926639556885,9.988051414489746,996.4938354492188,247.30276489257812,9.801742553710938,1.9956283569335938,449.49066162109375
