,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-38.85970687866211,-34.24802780151367,34.34996795654297,0.5438474416732788,3.5788209438323975,8.421638488769531,1198.053466796875,-23.63860511779785,1.1400001049041748,1.6399998664855957,6.98994255065918,2.597456932067871,285.90179443359375
std,13.631160736083984,14.084848403930664,11.935606956481934,0.08600258827209473,0.9240595698356628,2.283221483230591,329.69403076171875,90.75312805175781,7.994834049895871e-06,1.0023373761214316e-05,1.0090150833129883,0.8534947037696838,151.10009765625
min,-63.76747131347656,-66.74396514892578,11.214436531066895,0.29467880725860596,1.005340576171875,5.000923156738281,700.226318359375,-249.7717742919922,1.1399999856948853,1.6399999856948853,5.0103983879089355,0.3138527274131775,50.0893440246582
25%,-49.150328636169434,-44.307841300964355,25.89875078201294,0.4820041358470917,2.9374457597732544,6.604058504104614,928.2269287109375,-82.96350860595703,1.1399999856948853,1.6399999856948853,6.258530855178833,1.9956222772598267,166.95020294189453
50%,-40.645076751708984,-35.446672439575195,33.11371421813965,0.5458497703075409,3.620324492454529,8.049503803253174,1153.2249755859375,-21.677762031555176,1.1399999856948853,1.6399999856948853,6.886183500289917,2.650095582008362,265.46189880371094
75%,-30.905409812927246,-26.01330327987671,41.34902000427246,0.6004518419504166,4.36900520324707,9.824702739715576,1420.7921447753906,32.8204460144043,1.1399999856948853,1.6399999856948853,7.676630139350891,3.3204609751701355,385.4903793334961
max,15.275433540344238,14.144318580627441,72.72764587402344,0.7742207646369934,4.993153095245361,14.929167747497559,1977.268798828125,233.55758666992188,1.1399999856948853,1.6399999856948853,10.030303001403809,3.9674746990203857,688.0699462890625
