,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,expansion rate,B decay rate,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,122.40440368652344,-1.519574761390686,20.54540252685547,0.3007228374481201,3.021212100982666,14.965982437133789,1405.47998046875,161.7349395751953,1.1400001049041748,1.6399998664855957,6.436749458312988,1.6195746660232544,613.524169921875
std,5.74983549118042,8.34255599975586,48.02589416503906,0.021043265238404274,0.6635559797286987,0.5292260646820068,328.8638916015625,46.01816177368164,7.994834049895871e-06,1.0023373761214316e-05,0.6859633326530457,0.725023090839386,56.61328125
min,106.3497314453125,-30.55211639404297,0.032050084322690964,0.23641149699687958,1.0099331140518188,14.016193389892578,808.8688354492188,24.668550491333008,1.1399999856948853,1.6399999856948853,5.004391670227051,0.20012304186820984,351.33447265625
25%,118.6408519744873,-7.050510883331299,9.47610092163086,0.2849348783493042,2.565983772277832,14.503666400909424,1134.8978881835938,130.7538604736328,1.1399999856948853,1.6399999856948853,5.950719475746155,1.003610998392105,579.4668884277344
50%,122.06280136108398,-1.4732123017311096,13.795053958892822,0.29867327213287354,3.128042697906494,14.98913860321045,1385.5245361328125,162.43921661376953,1.1399999856948853,1.6399999856948853,6.411795377731323,1.6424443125724792,619.5529174804688
75%,125.65336608886719,4.139653563499451,18.34984254837036,0.3160255327820778,3.545612931251526,15.387470006942749,1680.4445495605469,198.77581024169922,1.1399999856948853,1.6399999856948853,6.880287170410156,2.2127519249916077,657.7447814941406
max,141.12954711914062,20.634428024291992,359.6319274902344,0.34938785433769226,3.9907989501953125,15.994086265563965,1989.34521484375,249.44778442382812,1.1399999856948853,1.6399999856948853,8.692547798156738,2.9973886013031006,699.5455932617188
