,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-53.935916900634766,24.836509704589844,334.4023132324219,0.297460675239563,4.320580959320068,7.946163177490234,1096.20556640625,-61.90058135986328,6.164570331573486,0.9975411295890808,483.6448974609375
std,6.916749954223633,14.183013916015625,47.655948638916016,0.033964235335588455,1.1613247394561768,1.3132946491241455,224.67686462402344,123.28693389892578,0.6856724619865417,0.4765563905239105,175.01995849609375
min,-67.5052261352539,-23.5239200592041,0.058160409331321716,0.19145925343036652,1.0737885236740112,5.004108428955078,501.98638916015625,-249.92916870117188,5.006830215454102,0.2010526955127716,102.5989990234375
25%,-58.84726524353027,14.883002281188965,334.75618743896484,0.27266787737607956,3.4943976998329163,7.007137179374695,931.2350921630859,-154.69324111938477,5.631858944892883,0.6358127743005753,349.57543182373047
50%,-54.78527641296387,25.918399810791016,341.4404754638672,0.30333109200000763,4.4494359493255615,8.10237169265747,1107.7550659179688,-85.0991096496582,6.099477052688599,0.9544818699359894,483.97203063964844
75%,-49.63473701477051,35.37077045440674,347.5614547729492,0.3236895650625229,5.282894849777222,9.02131724357605,1286.3671569824219,21.805960655212402,6.6465126276016235,1.3378718793392181,620.9268646240234
max,-25.593097686767578,58.39229965209961,359.6915588378906,0.3499189019203186,5.999902725219727,9.998546600341797,1499.571044921875,239.14378356933594,8.418905258178711,1.9847509860992432,799.917724609375
