,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-47.594017028808594,-3.480966567993164,145.48855590820312,0.3186197876930237,4.033988952636719,8.17015552520752,806.1517944335938,-57.263729095458984,6.657793045043945,1.129142165184021,345.180419921875
std,4.924711227416992,12.951937675476074,167.89346313476562,0.023112226277589798,1.196915864944458,1.39356529712677,131.37429809570312,132.22946166992188,0.843825101852417,0.4643690288066864,55.33822250366211
min,-59.414405822753906,-37.759029388427734,0.15377290546894073,0.23148345947265625,1.0869958400726318,3.226097822189331,437.74139404296875,-249.79513549804688,5.013326644897461,0.21065324544906616,250.33425903320312
25%,-51.37489032745361,-11.708882570266724,6.71003520488739,0.3060614764690399,3.180186629295349,7.350487112998962,716.0937652587891,-172.16155242919922,6.0129042863845825,0.7631014585494995,298.2974548339844
50%,-47.881858825683594,-3.952468156814575,15.199281215667725,0.3240484148263931,4.152977466583252,8.482946395874023,833.33935546875,-84.60950088500977,6.601088047027588,1.120859980583191,342.5318908691406
75%,-44.6055212020874,4.8876659870147705,350.5385971069336,0.3367382735013962,4.968176960945129,9.279297351837158,916.1134643554688,40.48502445220947,7.297601222991943,1.5130003690719604,393.2903823852539
max,-29.92068862915039,35.09680938720703,359.9324951171875,0.34976890683174133,5.992741584777832,9.998087882995605,999.6517944335938,249.890625,9.432867050170898,1.9914557933807373,449.9597473144531
