,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-11.665800094604492,21.795368194580078,54.01123046875,0.2967100143432617,3.289822578430176,6.507342338562012,1092.8177490234375,158.88580322265625,8.987180709838867,2.8616816997528076,163.8448486328125
std,7.926428318023682,16.264453887939453,56.74907684326172,0.0347636416554451,0.9279201030731201,1.0785410404205322,299.905517578125,50.9992790222168,2.3709402084350586,0.8065109252929688,85.13320922851562
min,-40.08644104003906,-41.590476989746094,1.6307432651519775,0.20159892737865448,1.1330156326293945,5.000084400177002,701.3189697265625,-1.914117455482483,5.010883331298828,0.5791990756988525,53.06672286987305
25%,-16.275588512420654,11.633021354675293,32.80739974975586,0.2698349729180336,2.6051540970802307,5.689770460128784,842.7585754394531,123.5651741027832,7.240769028663635,2.2918553352355957,96.35972595214844
50%,-10.383709907531738,24.928513526916504,45.530996322631836,0.30494439601898193,3.3317748308181763,6.355060338973999,1019.5984191894531,163.1771011352539,8.633983612060547,3.0152716636657715,146.19931030273438
75%,-5.533717155456543,33.61131763458252,57.73234272003174,0.3246690630912781,4.044800519943237,7.112286329269409,1286.6086730957031,199.79264068603516,10.293004751205444,3.526136338710785,207.1132926940918
max,-0.019550969824194908,49.59757614135742,359.7031555175781,0.34997570514678955,4.997660160064697,11.334752082824707,1988.948974609375,249.1737518310547,19.998565673828125,3.990778684616089,509.69927978515625
