,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-13.571925163269043,19.47630500793457,83.2088623046875,0.3138647675514221,3.218390464782715,6.895883560180664,1166.951904296875,108.17520141601562,6.347938537597656,3.0989973545074463,116.8634262084961
std,9.741061210632324,16.65297508239746,80.16217803955078,0.02679167129099369,0.996815025806427,1.272085189819336,321.6227722167969,124.61149597167969,1.0713720321655273,0.6293798685073853,42.40692901611328
min,-42.507720947265625,-41.896297454833984,3.9377760887145996,0.21939074993133545,1.0037938356399536,5.0036396980285645,700.6278686523438,-246.9360809326172,5.0020880699157715,0.8606373071670532,50.00986099243164
25%,-20.037426948547363,10.602439403533936,41.07235622406006,0.298730693757534,2.4698917269706726,5.855318546295166,894.3460388183594,61.63150882720947,5.522023677825928,2.6952508091926575,83.85847473144531
50%,-11.904845237731934,22.06944465637207,60.37387466430664,0.31984660029411316,3.3390166759490967,6.687995195388794,1124.021728515625,144.6858139038086,6.104834079742432,3.1967626810073853,112.08545303344727
75%,-5.6684489250183105,31.6395583152771,85.2453784942627,0.33510932326316833,4.049068212509155,7.7102274894714355,1383.3030090332031,199.50983428955078,6.893309712409973,3.604051887989044,145.09011840820312
max,-0.001341586117632687,48.68460464477539,358.7954406738281,0.34984463453292847,4.982363224029541,12.902554512023926,1980.119140625,249.48306274414062,11.031755447387695,3.9988293647766113,268.4998779296875
