,lon,lat,inc,D1AU,delta,launch radius,launch speed,t factor,B1AU,gamma,vsw
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,-18.37775421142578,-16.381023406982422,46.89048767089844,0.2819397449493408,3.350409746170044,7.055583477020264,1170.625244140625,31.063461303710938,9.099739074707031,2.9802346229553223,164.47860717773438
std,8.96338939666748,13.481134414672852,10.840384483337402,0.039336077868938446,1.0416765213012695,1.4362066984176636,326.424072265625,83.12012481689453,1.5491901636123657,0.6971541047096252,82.62950134277344
min,-44.075435638427734,-47.6982421875,15.80711841583252,0.20046472549438477,1.005645513534546,5.030269622802734,703.756591796875,-237.91412353515625,5.232720375061035,0.710002064704895,50.2098388671875
25%,-24.761892795562744,-25.712610721588135,39.621910095214844,0.2529129534959793,2.571240544319153,5.896910786628723,900.3255615234375,-17.363776683807373,8.000869631767273,2.510481297969818,100.64138221740723
50%,-17.823305130004883,-16.61737632751465,47.41116523742676,0.2826903164386749,3.4716410636901855,6.864887237548828,1116.9576416015625,31.59942626953125,9.064908981323242,3.1003137826919556,147.29044342041016
75%,-11.7143874168396,-7.513723611831665,54.54104518890381,0.3126903250813484,4.234382271766663,7.984770059585571,1388.6694946289062,84.6744441986084,10.096303462982178,3.5452556014060974,209.29354858398438
max,-0.4146951735019684,39.36216354370117,77.81153869628906,0.3498750925064087,4.979254722595215,13.927871704101562,1995.990234375,235.4448699951172,16.93659210205078,3.9976086616516113,485.8931579589844
